Marka,Model,Değerlendirme Sayısı,Soru-Cevap Sayısı,Değerlendirme Puanı,Fiyat,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Çözünürlük,Ekran Yenileme Hızı,Ekran Kartı,Ekran Boyutu,Kullanım Amacı,Cihaz Ağırlığı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Çözünürlük Standartı,Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,Garanti Tipi,Bağlantılar,Ekran Kartı Bellek Tipi,Temel İşlemci Hızı (GHz),Klavye,Maksimum İşlemci Hızı (GHz),Garanti Süresi,Renk,Kapasite,İşlemci Frekansı,Power Supply,Optik Sürücü Tipi,HDMI,Okula Dönüş,Beden,Şarjlı Kullanım Süresi,Ekran Kartı Gücü,Soket Tipi
ACER,Nitro V NH.QNCEY.00116 Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6'' FHD ANV15,6,25,4.7,,Intel Core i5,16 GB,512 GB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,6 GB,13420H,8,13. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR5,128 GB,ACER Türkiye Garantili,USB - Bluetooth - HDMI,GDDR6,,Q Türkçe,,2 Yıl,Siyah,,,,,,,,,,
Hometech,"Alfa 640c Intel Celeron N4020c 8 Gb 256 Gb Ssd Freedos 14.1"" Hd Taşınabilir Bilgisayar",126,496,4.3,7.299 TL,Intel Celeron,8 GB,256 GB,Free Dos,1366 x 768,60 Hz,Intel UHD Graphics 600,"14,1 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,N4020,2,4. Nesil,HDD Yok,Yok,,HD Ready (HD),DDR4,8 GB,Resmi Distribütör Garantili,USB - Bluetooth - HDMI,DDR,1.1,Q Türkçe,2.8,2 Yıl,Gümüş,,,,,,,,,,
ACER,"Intel Core i5 1235U 16GB 512 GB SSD Freedos 15.6"" Dizüstü Bilgisayar",1,8,4.0,13.856 TL,Intel Core i5,16 GB,512 GB,Free Dos,1920 x 1080,60 Hz,Intel Iris Graphics,15 inç,Ofis - İş,2 - 4 kg,Dahili,Paylaşımlı,1235U,4,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,,ACER Türkiye Garantili,USB - Bluetooth - HDMI,DDR3,,Q Türkçe,,2 Yıl,Gri,,,,Yok,,,,,,
ACER,Aspire 3 A315-510P-38X0İntel İ3-N305 12.Nesil 8 GB DDR5 RAM 256 GB SSD Freedos 15.6” FHD Laptop,1,7,5.0,10.212 TL,Intel Core i3,8 GB,256 GB,Free Dos,1920 x 1080,60 Hz,Dahili Ekran Kartı,"15,6 inç",Ofis - İş,2 - 4 kg,Harici,Paylaşımlı,N305,8,3. Nesil,256 GB,Yok,,HD Ready (HD),LPDDR5,8 GB,Resmi Distribütör Garantili,HDMI - USB,Dahili,,Q Türkçe (Aydınlatmalı),,2 Yıl,Gri,,,,,,,,,,
Dell,Inspiron 15 3520 i5-1235U 8GB RAM 256GB SSD 15.6 inç FHD 120Hz Ubuntu I352024052009U,21,47,5.0,15.999 TL,Intel Core i5,8 GB,256 GB,Free Dos,1920 x 1080,120 Hz,Intel UHD Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1235U,10,12. Nesil,HDD Yok,Var,,Full HD (FHD),DDR4,,Dell Türkiye Garantili,Bluetooth - HDMI,Dahili,,Q Türkçe (Aydınlatmasız),,2 Yıl,Siyah,,,,,,,,,,
ASUS,X515ea-bq945w 11.nesil Core Uyumlu I3 1115g4-4gb-256gb Ssd-15.6inc-w11,7,34,5.0,11.349 TL,Intel Core i3,4 GB,256 GB,Windows,1920 x 1080,Belirtilmemiş,Intel UHD Graphics,"15,6 inç",Ev - Okul,2 kg ve altı,Harici,Paylaşımlı,1115G4,2,11. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,4 GB,Resmi Distribütör Garantili,HDMI,Belirtilmemiş,2.4,Q Türkçe,4.2,2 Yıl,Gri,256 GB,,,Yok,,,,3 Saat ve Altı,,
IZOLY,"Streamer I5 10400f 16gb 512gb M.2 Nvme Rtx2060s 8gb 24"" 24"" Masaüstü Oyuncu Bilgisayarı",12,96,4.6,30.599 TL,Intel Core i5,,,Free Dos,1920 x 1080,100 Hz,Nvidia GeForce RTX3060,"24"" / 61 Ekran",,4 kg ve üzeri,Harici,8 GB,,6,,,,TN,Full HD (FHD),DDR4,32 GB,Resmi Distribütör Garantili,HDMI,GDDR6,2.9,Q Türkçe,,2 Yıl,,Yok,3.00 GHz üstü,500 W ve üstü,Yok,Var,,,,,
MONSTER,"Huma H5 V4.2.10 Black Intel Core I7 1255u 32 Gb Ram 1 Tb Ssd Freedos 15,6"" Fhd 120 Hz",26,72,4.4,30.499 TL,Intel Core i7,32 GB,1 TB,Free Dos,1920 x 1080,120 Hz,Intel Iris Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1255U,10,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,Monster Türkiye Garantili,USB - Bluetooth - HDMI,Dahili,1.7,Q Türkçe + Numerik (Aydınlatmalı),4.7,2 Yıl,Siyah,,,,Yok,,,,4-6 Saat,,
LENOVO,Nb Ideapad 82S9013Ttx I5-12450H 8Gb 512Ssd Nvıdıa Rtx3050Tı 15.6 Dos,2,7,4.0,27.999 TL,Intel Core i5,16 GB,512 GB,Free Dos,1920 x 1080,120 Hz,Nvidia GeForce RTX 3050 Ti,"15,6 inç",Ofis - İş,2 kg ve altı,Harici,4 GB ve altı,12450H,4,12. Nesil,512 GB,Yok,,Full HD (FHD),DDR4,,Lenovo Türkiye Garantili,USB - Bluetooth - HDMI,DDR4,,Q Türkçe (Aydınlatmalı),,2 Yıl,Gri,,,,,,,,,,
LENOVO,"IP Gaming 3 AMD Ryzen 5-6600H 16GB 512GB RTX3050 16"" WUXGA 165Hz Gaming Notebook 82SC0098TX",173,334,4.4,26.999 TL,AMD Ryzen 5,16 GB,512 GB,Free Dos,1920 x 1200,165 Hz,Nvidia GeForce RTX 3050,16 inç,Oyun,2 - 4 kg,Harici,4 GB ve altı,6600H,6,6. Nesil,HDD Yok,Yok,Anti-Glare,WUXGA,DDR5,32 GB,Lenovo Türkiye Garantili,USB - Bluetooth - HDMI,GDDR6,,Q Türkçe + Numerik (Aydınlatmalı),,2 Yıl,Siyah,,,,,,,,,,
LENOVO,IdeaPad 3 15IAU7 Intel Core i3-1215U 8gb/256gb SSD Notebook 82RK0146TX,1,7,4.0,11.189 TL,Intel Core i3,8 GB,256 GB,Windows,1920 x 1080,Belirtilmemiş,Intel UHD Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1215U,6,12. Nesil,HDD Yok,Yok,TN,Full HD (FHD),DDR4,16 GB,Lenovo Türkiye Garantili,USB - Bluetooth - HDMI,Belirtilmemiş,1.2,Q Türkçe (Aydınlatmasız),4.4,2 Yıl,Gri,,,,,,,,,,
IZOLY,"Busıness Swift Xt I5-3470 16gb 256gb 22""masaüstü Bilgisayarı",27,97,4.8,6.399 TL,Intel Core i5,16 GB,256 GB,Free Dos,1920 x 1080,,Dahili Ekran Kartı,"21,5 inç",Ofis - İş,,Dahili,Paylaşımlı,3470,4,3. Nesil,HDD Yok,Yok,TN,,DDR3,16 GB,Resmi Distribütör Garantili,HDMI,Dahili,3.1,Q Türkçe,,2 Yıl,Siyah,256 GB,3.00 GHz üstü,250 - 350 W,Yok,Var,,,4-6 Saat,,
ACER,"Aspire i5-12450H 16GB 512GB SSD FDOS 15.6"" IPS (1920x1080) Taşınabilir Bilgisayar NX.KN4EY.002",20,52,4.5,15.999 TL,Intel Core i5,16 GB,512 GB,Free Dos,1920 x 1080,60 Hz,Intel UHD Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Harici,Paylaşımlı,12450H,8,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,,ACER Türkiye Garantili,Bluetooth - HDMI,Belirtilmemiş,,Q Türkçe,,2 Yıl,Siyah,,,,,,,,3 Saat ve Altı,,
HP,"250 G8/Core I5-1135G7 İşlemci/ 8GB Ram/ 256GB SSD/ 15.6""/ FHD/ Freedos/ Laptop Kömür Grisi 853U8ES",216,179,4.4,11.999 TL,Intel Core i5,8 GB,256 GB,Free Dos,1920 x 1080,60 Hz,Dahili Ekran Kartı,"15,6 inç",Ev - Okul,2 kg ve altı,Dahili,4 GB ve altı,1135G7,4,11. Nesil,256 GB,Yok,,Full HD (FHD),DDR4,,Resmi Distribütör Garantili,Bluetooth,DDR4,,Q Türkçe (Aydınlatmasız),,2 Yıl,Gri,,,,,,,,,,
